City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-12-23 23:26:39,-54.8,-68.3,56.86,67,75,12.66
1,Kapaa,US,2021-12-23 23:29:07,22.0752,-159.319,78.78,73,75,4.0
2,Butaritari,KI,2021-12-23 23:31:37,3.0707,172.7902,81.59,79,47,9.48
3,Cayenne,GF,2021-12-23 23:31:37,4.9333,-52.3333,80.1,89,90,4.0
4,Rikitea,PF,2021-12-23 23:31:37,-23.1203,-134.9692,77.52,70,34,7.52
5,Aviles,ES,2021-12-23 23:31:38,43.5547,-5.9248,54.37,94,60,5.75
6,Idenao,CM,2021-12-23 23:31:38,4.2475,9.0047,78.24,80,100,0.98
7,Boyolangu,ID,2021-12-23 23:31:39,-8.1181,111.8935,76.66,90,100,3.18
8,College,US,2021-12-23 23:31:39,64.8569,-147.8028,8.26,80,75,5.75
9,Castro,BR,2021-12-23 23:31:39,-24.7911,-50.0119,59.99,87,5,10.49
10,Mataura,NZ,2021-12-23 23:31:40,-46.1927,168.8643,56.48,50,54,7.74
11,Provideniya,RU,2021-12-23 23:31:40,64.3833,-173.3,1.51,78,75,17.9
12,Llodio,ES,2021-12-23 23:31:41,43.1432,-2.962,58.17,67,0,8.05
13,Jamestown,US,2021-12-23 23:29:08,42.097,-79.2353,29.71,90,90,4.0
14,Busselton,AU,2021-12-23 23:31:42,-33.65,115.3333,64.04,50,16,13.29
15,Hermanus,ZA,2021-12-23 23:31:42,-34.4187,19.2345,64.9,75,48,14.54
16,Hobart,AU,2021-12-23 23:30:04,-42.8794,147.3294,71.26,54,75,5.01
17,Ahuimanu,US,2021-12-23 23:31:43,21.4447,-157.8378,82.11,55,40,7.0
18,Zhangye,CN,2021-12-23 23:31:43,38.9342,100.4517,19.76,58,1,3.29
19,Praia Da Vitoria,PT,2021-12-23 23:31:43,38.7333,-27.0667,60.76,77,20,21.65
20,Vostok,RU,2021-12-23 23:31:44,46.4856,135.8833,-22.86,94,43,2.51
21,Okha,RU,2021-12-23 23:31:44,53.5739,142.9478,-6.39,97,98,21.65
22,Zemio,CF,2021-12-23 23:31:45,5.0314,25.1361,78.01,31,94,4.59
23,Arraial Do Cabo,BR,2021-12-23 23:31:45,-22.9661,-42.0278,73.26,83,0,19.57
24,Bredasdorp,ZA,2021-12-23 23:30:33,-34.5322,20.0403,60.12,88,91,4.61
25,Kismayo,SO,2021-12-23 23:31:46,-0.3582,42.5454,79.93,81,96,10.07
26,Dikson,RU,2021-12-23 23:31:46,73.5069,80.5464,8.42,89,100,23.8
27,Mbandaka,CD,2021-12-23 23:31:47,0.0487,18.2603,73.47,93,92,3.29
28,Port Alfred,ZA,2021-12-23 23:30:33,-33.5906,26.891,62.22,79,98,7.54
29,Punta Arenas,CL,2021-12-23 23:30:36,-53.15,-70.9167,62.71,51,0,26.46
30,Salalah,OM,2021-12-23 23:31:48,17.0151,54.0924,69.89,56,0,5.75
31,Burnie,AU,2021-12-23 23:31:48,-41.0667,145.9167,67.91,70,98,11.74
32,Chifeng,CN,2021-12-23 23:31:48,42.2683,118.9636,-1.16,44,0,9.44
